pid,author,location,label,_date,description,object_type,current location,order,layout,collection,thumbnail,full,manifest
gordon_andalaft1,Dimitri Andalaft,"Cairo, Egypt","Receited invoice from Andalaft to Gordon, April 1920","April 14, 1920","Receited invoice from Dimitri Andalaft, Cairo, Egypt, for a manuscript Koran at 97.5 Lb.",Receipt,"George B. Gordon Director's Office Records, Penn Museum Archives",0,nep_80_item,nep_80,"/img/derivatives/iiif/images/gordon_andalaft1/full/250,/0/default.jpg","/img/derivatives/iiif/images/gordon_andalaft1/full/1140,/0/default.jpg",/img/derivatives/iiif/gordon_andalaft1/manifest.json
gordon_andalaft2,George Byron Gordon,"Cairo, Egypt","Letter from Gordon to Andalaft describing four objects, October 1923.","October 10, 1923","Letter from George Byron Gordon to Dimitri Andalaft describing four objects that Gordon took to the US in order to verify their authenticity. The objects were one Persian book manuscript dated 1028 AH, one album of signed miniature paintings, one Bourdah manuscript, and a �Persian� Koran manuscript, NEP-80. Written on the stationary of The Continental-Savoy of Cairo.",Handwritten letter,"George B. Gordon Director's Office Records, Penn Museum Archives",1,nep_80_item,nep_80,"/img/derivatives/iiif/images/gordon_andalaft2_gordon_andalaft2_1/full/250,/0/default.jpg","/img/derivatives/iiif/images/gordon_andalaft2_gordon_andalaft2_1/full/1140,/0/default.jpg",/img/derivatives/iiif/gordon_andalaft2/manifest.json
gordon_andalaft3,Dimitri Andalaft,"Cairo, Egypt","Invoice from Andalaft to Gordon for four objects, October 1923","October 10, 1923","Invoice from Dimitri Andalaft, Cairo, Egypt, for one Persian book manuscript dated 1028 AH, one album of signed miniature paintings, one Bourdah manuscript, and a �Persian� Koran manuscript (NEP-80)",Invoice,"George B. Gordon Director's Office Records, Penn Museum Archives",2,nep_80_item,nep_80,"/img/derivatives/iiif/images/gordon_andalaft3/full/250,/0/default.jpg","/img/derivatives/iiif/images/gordon_andalaft3/full/1140,/0/default.jpg",/img/derivatives/iiif/gordon_andalaft3/manifest.json
gordon_andalaft4,Dimitri Andalaft,"Cairo, Egypt","Letter from Andalaft to Gordon inquring about the four objects, December 1923","December 31, 1923","Letter from Dimitri Andalaft to George Byron Gordon inquring about the evaluation of and payment for the Persian book manuscript dated 1028 AH, an album of signed miniature paintings, a Bourdah manuscript, and a �Persian� Koran manuscript (NEP-80)",Handwritten letter,"George B. Gordon Director's Office Records, Penn Museum Archives",3,nep_80_item,nep_80,"/img/derivatives/iiif/images/gordon_andalaft4/full/250,/0/default.jpg","/img/derivatives/iiif/images/gordon_andalaft4/full/1140,/0/default.jpg",/img/derivatives/iiif/gordon_andalaft4/manifest.json
gordon_andalaft5,Dimitri Andalaft,"Cairo, Egypt","Letter from Andalaft to Gordon negotiating the value of the four objects, February 1924","February 14, 1924",Letter from Dimitri Andalaft to George Byron Gordon responding to the expert opinions about the authenticity of the loaned objects and negotiating prices for some of the objects.,Handwritten letter,"George B. Gordon Director's Office Records, Penn Museum Archives",4,nep_80_item,nep_80,"/img/derivatives/iiif/images/gordon_andalaft5_gordon_andalaft5_1/full/250,/0/default.jpg","/img/derivatives/iiif/images/gordon_andalaft5_gordon_andalaft5_1/full/1140,/0/default.jpg",/img/derivatives/iiif/gordon_andalaft5/manifest.json
gordon_andalaft6,Dimitri Andalaft,"Philadelphia, Pennsylvania, USA","Cablegram from Andalaft to Gordon rejecting Gordon's suggested price, May 1924","May 26, 1924",Cablegram from Dimitri Andalaft to George Byron Gordon rejecting Gordon's suggested price for the four objects and requesting Gordon return the items.,Cablegram transcription,"George B. Gordon Director's Office Records, Penn Museum Archives",5,nep_80_item,nep_80,"/img/derivatives/iiif/images/gordon_andalaft6/full/250,/0/default.jpg","/img/derivatives/iiif/images/gordon_andalaft6/full/1140,/0/default.jpg",/img/derivatives/iiif/gordon_andalaft6/manifest.json
gordon_andalaft7,Dimitri Andalaft,"Cairo, Egypt","Letter from Andalaft to Gordon recounting and continuing their negotiations, May 2914","May 30, 1924","Letter from Dimitri Andalaft to George Byron Gordon recounting their negotiations from July 1923 to May 1924. Andalaft expresses disappointment in Gordon's reduction of the price below 2000 Lbs. (though, Andalaft does not name the new price) and requests Gordon return the four objects as soon as possible. Some of the text is underlined in red ink.",Typed letter,"George B. Gordon Director's Office Records, Penn Museum Archives",6,nep_80_item,nep_80,"/img/derivatives/iiif/images/gordon_andalaft7_gordon_andalaft7_1/full/250,/0/default.jpg","/img/derivatives/iiif/images/gordon_andalaft7_gordon_andalaft7_1/full/1140,/0/default.jpg",/img/derivatives/iiif/gordon_andalaft7/manifest.json
gordon_andalaft8,Dimitri Andalaft,"Cairo, Egypt","Letter from Andalaft to Gordon confirming arrival of two objects and continuing negotiations for the two remaining objects, August 1924","August 6, 1924","Letter from Dimitri Andalaft to George Byron Gordon acknowledging receipt of a telegram from June 1924, confirming receipt of two returned books, and continuing negotiations for the Burdah prayer book and the Koran manuscript (NEP-80).",Handwritten letter,"George B. Gordon Director's Office Records, Penn Museum Archives",7,nep_80_item,nep_80,"/img/derivatives/iiif/images/gordon_andalaft8_gordon_andalaft8_1/full/250,/0/default.jpg","/img/derivatives/iiif/images/gordon_andalaft8_gordon_andalaft8_1/full/1140,/0/default.jpg",/img/derivatives/iiif/gordon_andalaft8/manifest.json
gordon_andalaft9,Dimitri Andalaft,"Cairo, Egypt","Letter from Andaloft to Gordon describing issue retrieving books from Egyptian post office, September 1924","September 3, 1924",Letter from Dimitri Andaloft to George Byron Gordon recounting an issue he had retrieving the two books returned by Gordon to Andalaft from the Egyptian post office which resulted in Andalaft paying a 100 Lb. fine.,Handwritten letter,"George B. Gordon Director's Office Records, Penn Museum Archives",8,nep_80_item,nep_80,"/img/derivatives/iiif/images/gordon_andalaft9_gordon_andalaft9_1/full/250,/0/default.jpg","/img/derivatives/iiif/images/gordon_andalaft9_gordon_andalaft9_1/full/1140,/0/default.jpg",/img/derivatives/iiif/gordon_andalaft9/manifest.json
gordon_andalaft10,Dimitri Andalaft,"Cairo, Egypt","Letter from Andalaft to Gordon acknowledging receipt of payment for two objects, November 1924","November 8, 1924",Letter from Dimitri Andalaft to George Byron Gordon acknowledging receipt of 287 Lb. from Gordon for the Burdah prayer book and the Koran manuscript (NEP-80),Handwritten letter,"George B. Gordon Director's Office Records, Penn Museum Archives",9,nep_80_item,nep_80,"/img/derivatives/iiif/images/gordon_andalaft10/full/250,/0/default.jpg","/img/derivatives/iiif/images/gordon_andalaft10/full/1140,/0/default.jpg",/img/derivatives/iiif/gordon_andalaft10/manifest.json
